id,status,lat,lng,location,title,caption,date,photo,code
philadelphia,,39.953,-75.164,"Philadelphia, PA",University of Pennsylvania,Some say we fell in love during this photoshoot... it was definitely the start of something!,Aug 2015,/memories/01.webp,
rhode-island,,41.58,-71.477,"Providence, RI",Brown Family Weekend,When we cosplayed as Sofie's parents. What a foreshadowing.,Oct 2018,/memories/02.webp,
punta-fuego,,14.164,120.588,"Punta Fuego, Philippines",Punta Fuego Beach House,Fuego has always been there for as long as we've been together. This Fuego trip was especially cathartic.,Dec 2018,/memories/03.webp,
pacific-palisades,,34.048,-118.526,"Pacific Palisades, CA",Pacific Palisades,First hand witnessing your love for sugarfish. RIP Palisades 🥲,Apr 2019,/memories/04.webp,
sorsogon,,12.974,124.005,"Sorsogon, Philippines",Sorsogon,"The most unprompted and beautiful trip. Fireflies, couples massages (with your dad), and a rock sanctuary.",Sep 2019,/memories/05.webp,
uptown-bgc,,14.559,121.055,"Manila, Philippines",Ma. Launch Event,When Ma. came to life. So proud of you 💕,Nov 2019,/memories/06.webp,
center-city,,39.95,-75.165,"Center City, PA",IPD Graduation,Bianca earns her Master's Degree!! Philly round 2. Our first cohabitation experiment (and thus when I was set on marrying you).,May 2021,/memories/07.webp,
nyc-les,,40.715,-73.986,"New York, NY",Pause Cafe,"Our home in New York where we became regulars. Where we really grew up as people, both individually and as a couple. A New York minute I'm so thankful to have lived with you.",Aug 2021,/memories/08.webp,
puerto-rico,,18.466,-66.106,Puerto Rico,Patrick & Dooby Joint Bday,Our first friends' trip not to the Philippines!! A weekend where our Lynbrook + wags squad was solidified!,Feb 2022,/memories/09.webp,
miami,,25.762,-80.192,"Miami, FL",Crypto Miami,"From mega mansions to mega yachts, the perfect work offsite when you work with your best friends.",Apr 2022,/memories/10.webp,
cabo,,22.89,-109.917,"Cabo, Mexico",Mango Deck,Cabo round 1 and our first trip together with Ryan!,Sep 2022,/memories/11.webp,
disneyland,,33.812,-117.919,"Los Angeles, CA",Disneyland,Including this because you've somehow forgotten our Disneyland experience...,Sep 2022,/memories/12.webp,
taipei,,25.033,121.565,"Taipei, Taiwan",Miaoli,When you met my grandparents and I got to take you around my home country 🥹,Jan 2023,/memories/13.webp,
donum,,38.222,-122.432,"Sonoma, CA",Donum,Another special place that encapsulates our SF love story. Can't wait to display our coffee table books soon!,Feb 2023,/memories/14.webp,
lake-tahoe,,39.097,-120.032,"Lake Tahoe, CA",SF Pinoy Tahoe Trip,The canon event when the SF Pinoys became our closest Filipino friends. We've come a long way from the car ride with Paolo and Paco thinking I'm some Brent kid.,Mar 2023,/memories/15.webp,
440-webster,,37.776,-122.429,"San Francisco, CA",440 Webster Mitsuri Themed Birthday,Our forever SF home. Also when you were an extreme Mitsuri weeb and my attempt at Sugarfish.,Jul 2023,/memories/16.webp,
cdmx,,19.433,-99.133,"CDMX, Mexico",Lago Algo,"A crazy trip between Andres, Gaby, Ashley, and even some Adrienne. But Lago Algo will forever live in our hearts.",Oct 2023,/memories/17.webp,
big-sur,,36.27,-121.808,"Big Sur, CA",Post Ranch,If I had a ring I would've proposed right here. One of the most beautiful views I've ever seen.,Nov 2023,/memories/18.webp,
balesin,,14.419,121.939,"Balesin, Philippines",Balesin Banyan Tree,When we got to take my family to Balesin. Banyan tree of life!!,Dec 2023,/memories/19.webp,
tokyo,,35.68,139.69,"Tokyo, Japan",Omotesando,My first trip with your family 🥹 Is this the photo evidence that I showed stores to find your Cinnamon Roll bag I dropped? Yessir but that made it even more memorable!,Dec 2023,/memories/20.webp,
salt-lake-city,,40.761,-111.891,"Salt Lake City, UT",Salt Lake City,"Another extremely random trip that I hardly have any memory of, but certainly a step in your journey to shredding.",Feb 2024,/memories/21.webp,
monterrey,,36.568,-121.95,"Monterrey Bay, CA",Monterrey,Pebble Beach with the Ongs and Ninang Carmen joking I should propose here (2 weeks before I actually proposed).,Jul 2024,/memories/22.webp,
dumaguete,,9.307,123.307,"Dumaguete, Philippines",Manjuyod Sand Bar,Somewhere in between peak crashout (Cebu Pac you are terrible) and pure proposal ecstasy. I'll never forget this little stop where I shaved in the bathroom.,Jul 2024,/memories/23.webp,
niseko,,42.805,140.687,"Niseko, Japan",Setsu Honeymoon,The first time we're able to vacation together officially!! With permission to stay in Setsu! Pure bliss of a week.,Feb 2025,/memories/24.webp,
alamo-square,,37.775,-122.419,"San Francisco, CA",Alamo Park,A goodbye to our time in SF but really it was au revoir -- until we meet again.,Jun 2025,/memories/25.webp,
lisbon,,38.722,-9.139,"Lisbon, Portugal",Setúbal,"Our first eurotrip, starting with Bridget's wedding! Despite the 100 degrees and Philippine's Barron Trump cramping our style, I look back at Portugal fondly (even if it's a dying city).",Jun 2025,/memories/26.webp,
barcelona,,41.387,2.17,"Barcelona, Spain",City Tour Bus,"Our first HOP ON HOP OFF experience!!! With a city tours boat tour to cap it off! Losing my DJI hurt but I'm so glad to see the Sagrada, Guadi's other works, and OG Loewe.",Jul 2025,/memories/27.webp,
copenhagen,,55.676,12.568,"Copenhagen, Denmark",Margo,Too many highlights in Copenhagen but our Italian birthday dinner across our hotel was pure happiness.,Jul 2025,/memories/28.webp,
hong-kong,,22.28,114.166,"Admiralty, Hong Kong",Upper House,"Still the top, top hotel experience for me ever. A short trip but thank you for showing me Hong Kong.",Sep 2025,/memories/29.webp,
singapore-orchard,,1.304,103.832,"Orchard, Singapore",Newton Food Centre,Our last international trip before I enlisted for the AI war. I thought I really got to bond with Lolo and Lola here ❤️,Jan 2026,/memories/30.webp,
santorini,coming-soon,36.393,25.461,"Santorini, Greece",Coming soon,A new adventure is brewing.,someday soon,,
